gameid,date,game,teamname,side,result,gamelength,ckpm,golddiffat15,xpdiffat15,csdiffat15,firstblood,firstdragon,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,kills,deaths,assists,wpm,wcpm,vspm,dragons,elementaldrakes,elders
LOLTMNT03_341399,2026-01-25 08:05:39,1,T1,Red,1,2364,1.0914,1143.0,-117.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25,18,53,4.2132,2.1066,12.0051,1.0,0.0,1.0
LOLTMNT03_340339,2026-01-25 09:06:56,2,T1,Blue,0,2580,0.9535,-1508.0,-2148.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15,26,29,3.8837,1.5116,9.3256,2.0,1.0,1.0
LOLTMNT03_340339,2026-01-25 09:06:56,2,BNK FEARX,Red,1,2580,0.9535,1508.0,2148.0,-20.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,26,15,52,4.1163,1.9535,10.907,4.0,4.0,0.0
LOLTMNT03_340341,2026-01-25 10:12:05,3,BNK FEARX,Blue,0,1820,0.8571,894.0,1646.0,31.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8,18,14,3.956,1.5824,9.9231,1.0,1.0,0.0
LOLTMNT03_340341,2026-01-25 10:12:05,3,T1,Red,1,1820,0.8571,-894.0,-1646.0,-31.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,18,8,39,4.1868,1.4176,10.2857,4.0,4.0,0.0
LOLTMNT03_341439,2026-01-25 11:28:02,1,HANJIN BRION,Blue,1,2279,0.5529,-688.0,-68.0,-26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,7,45,4.502,1.7376,11.0575,4.0,4.0,0.0
LOLTMNT03_341439,2026-01-25 11:28:02,1,KT Rolster,Red,0,2279,0.5529,688.0,68.0,26.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7,14,17,3.4752,2.1325,11.4261,2.0,2.0,0.0
LOLTMNT03_341446,2026-01-25 12:29:52,2,HANJIN BRION,Blue,0,2735,0.8117,3026.0,2809.0,25.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,17,20,38,4.1243,1.7112,10.8154,3.0,3.0,0.0
LOLTMNT03_341446,2026-01-25 12:29:52,2,KT Rolster,Red,1,2735,0.8117,-3026.0,-2809.0,-25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20,17,41,4.234,2.0183,11.5174,4.0,4.0,0.0
LOLTMNT03_341450,2026-01-25 13:39:08,3,KT Rolster,Blue,1,1801,0.7329,1301.0,1509.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,17,5,49,4.0977,1.7657,10.5941,4.0,4.0,0.0
LOLTMNT03_341450,2026-01-25 13:39:08,3,HANJIN BRION,Red,0,1801,0.7329,-1301.0,-1509.0,-20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5,17,15,3.8978,1.4659,9.7946,0.0,0.0,0.0
LOLTMNT01_326821,2026-01-28 08:04:54,1,Kiwoom DRX,Blue,1,2170,0.8295,1569.0,2562.0,-8.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,22,8,66,3.6498,1.659,11.3088,2.0,2.0,0.0
LOLTMNT01_326821,2026-01-28 08:04:54,1,HANJIN BRION,Red,0,2170,0.8295,-1569.0,-2562.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8,22,14,3.5668,1.2995,9.4839,3.0,3.0,0.0
